"COUNTY_ID","CONAME","DISTRICT_ID","DISTNAME","ENROLL_LINE_NO","ENROLL_CAT","AMOUNT_1","AMOUNT_2","AMOUNT_3"
03,"Bergen",0290,"Bergen County Vocational",21,"Onroll (SpEd Full)",365.0,369.0,351.0
03,"Bergen",0290,"Bergen County Vocational",22,"Onroll (SpEd Shared)",67.0,73.0,113.0
03,"Bergen",0290,"Bergen County Vocational",30,"Post-Secondary (Full)",52.0,63.0,0.0
03,"Bergen",0300,"Bergenfield Boro",11,"Onroll (Full)",3035.0,3099.0,3174.0
03,"Bergen",0300,"Bergenfield Boro",21,"Onroll (SpEd Full)",516.0,536.0,535.0
03,"Bergen",0300,"Bergenfield Boro",22,"Onroll (SpEd Shared)",,1.0,1.0
03,"Bergen",0300,"Bergenfield Boro",40,"Sent Private School",23.0,29.0,29.0
03,"Bergen",0300,"Bergenfield Boro",52,"Sent Oth Dist SpEd",30.0,27.0,40.0
03,"Bergen",0300,"Bergenfield Boro",60,"Received Oth Dist",44.0,29.5,29.5
03,"Bergen",0440,"Bogota Boro",11,"Onroll (Full)",928.0,936.0,924.0
03,"Bergen",0440,"Bogota Boro",21,"Onroll (SpEd Full)",192.0,194.0,222.0
03,"Bergen",0440,"Bogota Boro",40,"Sent Private School",14.0,12.0,0.0
03,"Bergen",0440,"Bogota Boro",50,"Sent Contract Presch",,69.0,0.0
03,"Bergen",0440,"Bogota Boro",52,"Sent Oth Dist SpEd",19.0,25.0,8.0
03,"Bergen",0440,"Bogota Boro",60,"Received Oth Dist",5.0,1.0,0.0
03,"Bergen",0740,"Carlstadt Boro",11,"Onroll (Full)",465.0,460.0,479.0
03,"Bergen",0740,"Carlstadt Boro",21,"Onroll (SpEd Full)",87.0,79.0,81.0
03,"Bergen",0740,"Carlstadt Boro",40,"Sent Private School",1.0,1.0,0.0
03,"Bergen",0740,"Carlstadt Boro",52,"Sent Oth Dist SpEd",12.0,16.0,22.0
03,"Bergen",0740,"Carlstadt Boro",60,"Received Oth Dist",37.0,15.0,20.0
03,"Bergen",0745,"Carlstadt-East Rutherford",11,"Onroll (Full)",426.0,446.0,500.0
03,"Bergen",0745,"Carlstadt-East Rutherford",12,"Onroll (Shared)",7.0,7.0,12.0
03,"Bergen",0745,"Carlstadt-East Rutherford",21,"Onroll (SpEd Full)",66.0,71.0,72.0
03,"Bergen",0745,"Carlstadt-East Rutherford",22,"Onroll (SpEd Shared)",2.0,4.0,6.0
03,"Bergen",0745,"Carlstadt-East Rutherford",40,"Sent Private School",12.0,8.0,0.0
03,"Bergen",0745,"Carlstadt-East Rutherford",52,"Sent Oth Dist SpEd",15.0,11.0,14.0
03,"Bergen",0745,"Carlstadt-East Rutherford",60,"Received Oth Dist",1.5,,0.0
03,"Bergen",0890,"Cliffside Park Boro",11,"Onroll (Full)",2674.0,2650.0,2765.0
03,"Bergen",0890,"Cliffside Park Boro",12,"Onroll (Shared)",2.0,5.0,1.0
03,"Bergen",0890,"Cliffside Park Boro",21,"Onroll (SpEd Full)",483.0,555.0,600.0
03,"Bergen",0890,"Cliffside Park Boro",22,"Onroll (SpEd Shared)",1.0,,2.0
03,"Bergen",0890,"Cliffside Park Boro",40,"Sent Private School",11.0,11.0,13.0
03,"Bergen",0890,"Cliffside Park Boro",51,"Sent Oth Dist Reg",0.0,4.0,0.0
03,"Bergen",0890,"Cliffside Park Boro",52,"Sent Oth Dist SpEd",41.0,37.5,46.0
03,"Bergen",0890,"Cliffside Park Boro",60,"Received Oth Dist",555.5,559.5,547.5
03,"Bergen",0890,"Cliffside Park Boro",70,"State Facilities",1.0,,0.0
03,"Bergen",0930,"Closter Boro",11,"Onroll (Full)",1045.0,1042.0,1054.0
03,"Bergen",0930,"Closter Boro",21,"Onroll (SpEd Full)",146.0,152.0,158.0
03,"Bergen",0930,"Closter Boro",40,"Sent Private School",5.0,5.0,0.0
03,"Bergen",0930,"Closter Boro",52,"Sent Oth Dist SpEd",12.0,19.0,21.0
03,"Bergen",0930,"Closter Boro",60,"Received Oth Dist",32.0,33.0,25.0
03,"Bergen",0990,"Cresskill Boro",11,"Onroll (Full)",1561.0,1570.0,1573.0
03,"Bergen",0990,"Cresskill Boro",12,"Onroll (Shared)",1.0,1.0,0.0
03,"Bergen",0990,"Cresskill Boro",21,"Onroll (SpEd Full)",239.0,244.0,255.0
03,"Bergen",0990,"Cresskill Boro",22,"Onroll (SpEd Shared)",4.0,4.0,1.0
03,"Bergen",0990,"Cresskill Boro",40,"Sent Private School",12.5,16.0,0.0
03,"Bergen",0990,"Cresskill Boro",52,"Sent Oth Dist SpEd",4.0,3.0,19.0
03,"Bergen",0990,"Cresskill Boro",60,"Received Oth Dist",53.0,50.5,42.0
03,"Bergen",1070,"Demarest Boro",11,"Onroll (Full)",594.0,612.0,627.0
03,"Bergen",1070,"Demarest Boro",21,"Onroll (SpEd Full)",87.0,87.0,87.0
03,"Bergen",1070,"Demarest Boro",40,"Sent Private School",2.0,3.0,1.0
03,"Bergen",1070,"Demarest Boro",52,"Sent Oth Dist SpEd",12.0,9.0,14.0
03,"Bergen",1070,"Demarest Boro",60,"Received Oth Dist",38.0,43.0,1.0
03,"Bergen",1130,"Dumont Boro",11,"Onroll (Full)",2212.0,2261.0,2227.0
03,"Bergen",1130,"Dumont Boro",12,"Onroll (Shared)",6.0,6.0,0.0
03,"Bergen",1130,"Dumont Boro",21,"Onroll (SpEd Full)",256.0,256.0,315.0
03,"Bergen",1130,"Dumont Boro",22,"Onroll (SpEd Shared)",4.0,4.0,0.0
03,"Bergen",1130,"Dumont Boro",40,"Sent Private School",12.5,11.0,0.0
03,"Bergen",1130,"Dumont Boro",52,"Sent Oth Dist SpEd",55.5,52.5,6.0
03,"Bergen",1230,"East Rutherford Boro",11,"Onroll (Full)",683.0,661.0,677.0
03,"Bergen",1230,"East Rutherford Boro",21,"Onroll (SpEd Full)",121.0,112.0,130.0
03,"Bergen",1230,"East Rutherford Boro",40,"Sent Private School",8.0,6.0,0.0
03,"Bergen",1230,"East Rutherford Boro",52,"Sent Oth Dist SpEd",8.0,6.0,0.0
03,"Bergen",1230,"East Rutherford Boro",60,"Received Oth Dist",,1.0,0.0
03,"Bergen",1270,"Edgewater Boro",11,"Onroll (Full)",904.0,854.0,922.0
03,"Bergen",1270,"Edgewater Boro",21,"Onroll (SpEd Full)",100.0,94.0,54.0
03,"Bergen",1270,"Edgewater Boro",40,"Sent Private School",11.0,6.0,13.0
03,"Bergen",1270,"Edgewater Boro",51,"Sent Oth Dist Reg",396.0,425.0,528.0
03,"Bergen",1270,"Edgewater Boro",52,"Sent Oth Dist SpEd",85.0,95.0,126.0
03,"Bergen",1270,"Edgewater Boro",60,"Received Oth Dist",60.0,62.0,0.0
03,"Bergen",1345,"Elmwood Park",11,"Onroll (Full)",2189.0,2222.0,2229.0
03,"Bergen",1345,"Elmwood Park",12,"Onroll (Shared)",14.0,20.0,20.0
03,"Bergen",1345,"Elmwood Park",21,"Onroll (SpEd Full)",390.0,386.0,388.0
03,"Bergen",1345,"Elmwood Park",22,"Onroll (SpEd Shared)",8.0,9.0,9.0
03,"Bergen",1345,"Elmwood Park",40,"Sent Private School",28.0,28.0,28.0
03,"Bergen",1345,"Elmwood Park",51,"Sent Oth Dist Reg",1.0,3.0,2.0
03,"Bergen",1345,"Elmwood Park",52,"Sent Oth Dist SpEd",29.0,28.5,28.5
03,"Bergen",1345,"Elmwood Park",70,"State Facilities",3.0,,0.0
03,"Bergen",1360,"Emerson Boro",11,"Onroll (Full)",978.0,957.0,1005.0
03,"Bergen",1360,"Emerson Boro",21,"Onroll (SpEd Full)",134.0,141.0,148.0
03,"Bergen",1360,"Emerson Boro",40,"Sent Private School",19.0,16.0,18.0
03,"Bergen",1360,"Emerson Boro",52,"Sent Oth Dist SpEd",9.0,13.0,12.0
03,"Bergen",1360,"Emerson Boro",60,"Received Oth Dist",1.0,2.0,0.0
03,"Bergen",1370,"Englewood City",11,"Onroll (Full)",2754.0,2813.0,2821.0
03,"Bergen",1370,"Englewood City",12,"Onroll (Shared)",3.0,6.0,0.0
03,"Bergen",1370,"Englewood City",21,"Onroll (SpEd Full)",411.0,409.0,455.0
03,"Bergen",1370,"Englewood City",22,"Onroll (SpEd Shared)",1.0,1.0,0.0
03,"Bergen",1370,"Englewood City",40,"Sent Private School",35.5,27.5,0.0
03,"Bergen",1370,"Englewood City",50,"Sent Contract Presch",0.0,0.0,75.0
03,"Bergen",1370,"Englewood City",51,"Sent Oth Dist Reg",2.0,2.0,0.0
03,"Bergen",1370,"Englewood City",52,"Sent Oth Dist SpEd",40.5,39.0,21.0
03,"Bergen",1370,"Englewood City",60,"Received Oth Dist",40.0,44.0,35.0
03,"Bergen",1370,"Englewood City",70,"State Facilities",1.0,,0.0
03,"Bergen",1380,"Englewood Cliffs Boro",11,"Onroll (Full)",439.0,430.0,432.0
03,"Bergen",1380,"Englewood Cliffs Boro",21,"Onroll (SpEd Full)",51.0,53.0,44.0
03,"Bergen",1380,"Englewood Cliffs Boro",40,"Sent Private School",6.0,5.0,7.0
03,"Bergen",1380,"Englewood Cliffs Boro",51,"Sent Oth Dist Reg",38.0,40.0,47.0
03,"Bergen",1380,"Englewood Cliffs Boro",52,"Sent Oth Dist SpEd",16.0,17.0,22.0
03,"Bergen",1380,"Englewood Cliffs Boro",60,"Received Oth Dist",7.0,8.0,0.0
03,"Bergen",1450,"Fair Lawn Boro",11,"Onroll (Full)",4224.0,4349.0,4458.0
03,"Bergen",1450,"Fair Lawn Boro",12,"Onroll (Shared)",2.0,4.0,0.0
03,"Bergen",1450,"Fair Lawn Boro",21,"Onroll (SpEd Full)",833.0,859.0,861.0
03,"Bergen",1450,"Fair Lawn Boro",22,"Onroll (SpEd Shared)",2.0,,0.0
03,"Bergen",1450,"Fair Lawn Boro",40,"Sent Private School",44.0,42.0,43.0
03,"Bergen",1450,"Fair Lawn Boro",52,"Sent Oth Dist SpEd",20.5,18.0,33.0
03,"Bergen",1450,"Fair Lawn Boro",60,"Received Oth Dist",5.0,3.0,3.0
03,"Bergen",1450,"Fair Lawn Boro",70,"State Facilities",,1.0,0.0
03,"Bergen",1470,"Fairview Boro",11,"Onroll (Full)",1265.0,1312.0,1250.0
03,"Bergen",1470,"Fairview Boro",21,"Onroll (SpEd Full)",229.0,223.0,237.0
03,"Bergen",1470,"Fairview Boro",40,"Sent Private School",6.0,3.0,0.0
03,"Bergen",1470,"Fairview Boro",51,"Sent Oth Dist Reg",478.5,477.5,478.0
03,"Bergen",1470,"Fairview Boro",52,"Sent Oth Dist SpEd",106.0,115.0,103.0
03,"Bergen",1470,"Fairview Boro",60,"Received Oth Dist",3.0,1.0,0.0
03,"Bergen",1550,"Fort Lee Boro",11,"Onroll (Full)",3599.0,3651.0,3782.0
03,"Bergen",1550,"Fort Lee Boro",12,"Onroll (Shared)",2.0,,0.0
03,"Bergen",1550,"Fort Lee Boro",21,"Onroll (SpEd Full)",460.0,503.0,512.0
03,"Bergen",1550,"Fort Lee Boro",40,"Sent Private School",25.0,16.0,0.0
03,"Bergen",1550,"Fort Lee Boro",51,"Sent Oth Dist Reg",0.0,1.0,1.0
03,"Bergen",1550,"Fort Lee Boro",52,"Sent Oth Dist SpEd",18.0,22.0,22.0
03,"Bergen",1550,"Fort Lee Boro",60,"Received Oth Dist",2.0,13.0,13.0
03,"Bergen",1550,"Fort Lee Boro",70,"State Facilities",2.0,,0.0
03,"Bergen",1580,"Franklin Lakes Boro",11,"Onroll (Full)",953.0,959.0,970.0
03,"Bergen",1580,"Franklin Lakes Boro",21,"Onroll (SpEd Full)",183.0,189.0,167.0
03,"Bergen",1580,"Franklin Lakes Boro",40,"Sent Private School",8.0,5.0,0.0
03,"Bergen",1580,"Franklin Lakes Boro",52,"Sent Oth Dist SpEd",2.0,4.0,3.0
03,"Bergen",1580,"Franklin Lakes Boro",60,"Received Oth Dist",24.0,30.0,0.0
